rank,item_id,outlet,type,language,title,url,published_at,R,S,D,I,r_people,signal_mult,logos,ethos,pathos,d_raw,topics,prompt_version,reach_flag,content_basis,content_access,word_count,fetch_method,r_basis,justification
11,318d34af5313c466,CBS News,tv,en,"Sen. Blumenthal urges House to pass Russia sanctions bill amid a ""moment of extreme urgency"" in Ukraine",https://www.cbsnews.com/news/russia-sanctions-bill-house-senate-lindsey-graham-richard-blumenthal,2026-08-30T00:00:00+00:00,0.014885,0.139500,0.633333,0.00131513,3900000.000000,,6,7,6,19,foreign_policy_wars:0.85; government_leadership:0.15,score_v2,ok,full_text,open,577,transcript_page,programme average viewers x TV_SEGMENT_SHARE (US-only by construction); flat across the outlet's items (no per-item signal),"Blumenthal cites vote margins, economic data on Russia's deficit/GDP/interest rates, and bill provisions—some reasoning. As a senator and bill co-sponsor speaking on a major Sunday show, he carries institutional authority. Emotional language ('brutal, murderous,' 'heartbreaking,' 'killing in cold blood') adds notable pathos."
12,9ad9609e6d38a3c7,NBC News,tv,en,'Dear Donald': Battleground district voters share their message to Trump,https://www.nbcnews.com/meet-the-press/video/-dear-donald-battleground-district-voters-share-their-message-to-trump-268689477753,2026-08-21T20:21:41+00:00,0.024237,0.171000,0.300000,0.00124334,6350000.000000,,2,4,3,9,government_leadership:0.35; foreign_policy_wars:0.25; economy:0.15; democracy_elections:0.15; immigration:0.10,score_v2,ok,full_text,open,336,page_fetch,programme average viewers x TV_SEGMENT_SHARE (US-only by construction); flat across the outlet's items (no per-item signal),"A list of news segment headlines with brief descriptions covering midterms, Iran strikes, immigration, tariffs; no sustained argument or named authoritative voice beyond brief reporter mentions, limited emotional content beyond political framing."
13,c96d49fdcfeef988,NBC News,tv,en,Federal judge blocks Trump’s latest order limiting birthright citizenship,https://www.nbcnews.com/politics/white-house/federal-judge-blocks-trumps-latest-order-limiting-birthright-citizensh-rcna595794,2026-09-02T23:17:49+00:00,0.024237,0.106500,0.466667,0.00120456,6350000.000000,,6,6,2,14,immigration:0.45; democracy_elections:0.40; government_leadership:0.15,score_v2,ok,full_text,open,573,page_fetch,programme average viewers x TV_SEGMENT_SHARE (US-only by construction); flat across the outlet's items (no per-item signal),"Reports a judge's ruling, quotes legal reasoning, cites Supreme Court precedent, and includes statements from White House and AG. Institutional authority (judge, AG, White House spokesperson) present. Minimal emotional language beyond 'activist judge' rhetoric; mostly factual, procedural reporting."
14,60392e48cbd2af7f,Marketplace (APM),radio,en,Wages are 7% lower for workers in right-to-work states,https://www.marketplace.org/story/2026/09/03/righttowork-states-have-7-lower-wages,2026-09-03T00:00:00+00:00,0.011298,0.212000,0.500000,0.00119756,2960000.000000,,7,6,2,15,economy:0.85; race_relations:0.10; government_leadership:0.05,score_v2,secondary,full_text,open,360,homepage_fetch,weekly cume / RADIO_EPISODES_PER_WEEK (US-only by construction); cume overlap not modelled; flat across the outlet's items (no per-item signal),"Article cites EPI report data, quotes economists explaining causal mechanisms (unionization rates, minimum wage policies) and addresses confounding factors. Sources are named experts with institutional backing, giving moderate ethos. Tone is factual and analytical, minimal emotional language."
15,fabb2f7c1c77b5f1,Marketplace (APM),radio,en,"To spur more housing construction, Denver changed its parking rules",https://www.marketplace.org/story/2026/09/02/denver-changed-parking-rule-to-spur-more-housing,2026-09-02T00:00:00+00:00,0.011298,0.197000,0.533333,0.00118701,2960000.000000,,7,6,3,16,economy:0.55; government_leadership:0.25; poverty_homelessness:0.20,score_v2,secondary,full_text,open,666,homepage_fetch,weekly cume / RADIO_EPISODES_PER_WEEK (US-only by construction); cume overlap not modelled; flat across the outlet's items (no per-item signal),"Uses study data, expert interviews, a simulator tool, and a real-world example with a resident's counterpoint. Sources include an academic and a data lab director, giving moderate authority. Emotional content is mild, mainly the resident's practical frustration."
16,c0fd92d336fe5457,NBC News,tv,en,Progressive Senate candidates rack up primary wins even as they get outspent,https://www.nbcnews.com/politics/politics-news/progressive-senate-candidates-rack-primary-wins-even-get-outspent-rcna595769,2026-09-02T21:05:45+00:00,0.024237,0.101500,0.433333,0.00106601,6350000.000000,,6,5,2,13,democracy_elections:0.60; government_leadership:0.25; ai_technology:0.10; healthcare:0.05,score_v2,ok,full_text,open,1097,page_fetch,programme average viewers x TV_SEGMENT_SHARE (US-only by construction); flat across the outlet's items (no per-item signal),"Data-driven newsletter with ad-spending figures, primary vote percentages, and historical comparisons across multiple races. Institutional NBC News authority but no personal charismatic voice. Tone is neutral, analytical, low emotional charge; mainly factual political horse-race reporting on elections and party dynamics."
17,d408139adfc15233,NBC News,tv,en,Trump says he’ll campaign for Republicans in 35 races ahead of the midterms,https://www.nbcnews.com/politics/2026-election/trump-says-will-campaign-republicans-35-races-ahead-midterms-rcna595807,2026-09-03T02:15:36+00:00,0.024237,0.098000,0.433333,0.00102925,6350000.000000,,2,8,3,13,democracy_elections:0.80; government_leadership:0.20,score_v2,ok,full_text,open,360,page_fetch,programme average viewers x TV_SEGMENT_SHARE (US-only by construction); flat across the outlet's items (no per-item signal),"Trump announces campaign plans and quips about candidates; largely assertion, no evidence needed. His personal authority as president drives the narrative, with light jabs and self-promotion but minimal emotional intensity or argument."
18,73e904c9b8434b15,NBC News,tv,en,Elon Musk’s super PAC dives into the midterms to bolster Republicans in battleground races,https://www.nbcnews.com/politics/2026-election/elon-musk-super-pac-midterms-republicans-rcna595909,2026-09-03T15:26:41+00:00,0.024237,0.123500,0.333333,0.00099774,6350000.000000,,5,4,1,10,democracy_elections:0.65; government_leadership:0.20; economy:0.15,score_v2,ok,full_text,open,472,page_fetch,programme average viewers x TV_SEGMENT_SHARE (US-only by construction); flat across the outlet's items (no per-item signal),"Straight factual reporting with FEC filing data, spending figures, and context on Musk's political history. No emotional language; standard news attribution gives moderate institutional credibility but no personal authority invoked."
19,cc18ce06ab3ceb66,CBS News,tv,en,Pentagon temporarily rescinds new testosterone guidelines,https://www.cbsnews.com/news/pentagon-testosterone-testing-hegseth-policy/,2026-09-03T18:15:00+00:00,0.014885,0.148000,0.400000,0.00088122,3900000.000000,,5,5,2,12,government_leadership:0.50; healthcare:0.40; other:0.10,score_v2,ok,full_text,open,486,page_fetch,programme average viewers x TV_SEGMENT_SHARE (US-only by construction); flat across the outlet's items (no per-item signal),"News report on Pentagon policy reversal, citing official statements, Hegseth quotes, and medical expert testimony on testosterone/readiness. Institutional sourcing gives moderate ethos; some evidence/reasoning present but largely descriptive; low emotional charge, mostly factual reporting."
20,a08fe3204072a735,CBS News,tv,en,DOJ charges ICE officer who shot immigrant with lying to investigators,https://www.cbsnews.com/news/ice-officer-charged-doj-christian-castro-minnesota/,2026-09-03T17:10:00+00:00,0.014885,0.107500,0.533333,0.00085344,3900000.000000,,7,5,4,16,immigration:0.55; crime:0.25; government_leadership:0.20,score_v2,ok,full_text,open,464,page_fetch,programme average viewers x TV_SEGMENT_SHARE (US-only by construction); flat across the outlet's items (no per-item signal),"Detailed factual reporting with multiple sourced accounts, DHS/FBI/lawmaker statements, and timeline of legal actions. CBS News sourcing and named officials (Lyons) provide institutional credibility. Some emotional weight from shooting, family testimony, but largely measured, evidence-driven reporting."
21,0a08fb9d8b0a8ad1,CBS News,tv,en,"Gloria Steinem, trailblazing figure in women's liberation movement, dies at age 92",https://www.cbsnews.com/news/gloria-steinem-dies-age-92-feminist-ms-magazine,2026-09-03T00:00:00+00:00,0.014885,0.085000,0.633333,0.00080134,3900000.000000,,5,8,6,19,other:0.60; government_leadership:0.15; abortion:0.15; race_relations:0.10,score_v2,ok,full_text,open,2475,transcript_page,programme average viewers x TV_SEGMENT_SHARE (US-only by construction); flat across the outlet's items (no per-item signal),"An obituary weaving biographical detail, quotes, and historical evidence of Steinem's impact (statistics, Ms. Magazine history) with tribute-driven, emotionally warm framing. High ethos from Clinton's testimony and Steinem's own established stature; moderate pathos from reflective, poignant quotes; some reasoning via cited facts."
22,42a4efcbd6433c36,CBS News,tv,en,Postal Service mail voting rules face extended block as judge presses DOJ,https://www.cbsnews.com/news/postal-service-mail-voting-rules-block/,2026-09-03T17:52:34+00:00,0.014885,0.088500,0.600000,0.00079042,3900000.000000,,8,6,4,18,democracy_elections:0.85; government_leadership:0.15,score_v2,ok,full_text,open,1016,page_fetch,programme average viewers x TV_SEGMENT_SHARE (US-only by construction); flat across the outlet's items (no per-item signal),"Detailed factual reporting on litigation, judicial questioning, executive order history, whistleblower disclosure, and procedural timelines. Ethos rests on court proceedings and named officials (judge, DOJ, states) rather than the reporter's own authority. Pathos moderate via judge's pointed rhetorical questions about disenfranchisement."
23,2a1e544b1ac12fb7,NPR News (Morning Edition / All Things Considered),radio,en,Up First from NPR,https://www.npr.org/podcasts/510318/up-first,2026-09-03T00:00:00+00:00,0.011221,0.156000,0.433333,0.00075856,2940000.000000,,4,6,3,13,foreign_policy_wars:0.50; government_leadership:0.25; other:0.15; economy:0.10,score_v2,secondary,full_text,open,818,transcript_page,weekly cume / RADIO_EPISODES_PER_WEEK (US-only by construction); cume overlap not modelled; flat across the outlet's items (no per-item signal),"Compilation of NPR Up First episode summaries covering Iran war, Venezuela deal, Pentagon, SCOTUS, and cultural news. Brief factual descriptions with minimal argumentation; NPR's institutional credibility lends moderate ethos; low emotional intensity apart from crisis framing of war and disasters."
24,225e6f9aa41c31a2,ABC News,tv,en,Missouri candidate charged with trying to plant cocaine on his political rival,https://abcnews.com/Politics/wireStory/missouri-candidate-charged-plant-cocaine-political-rival-136182044,2026-09-03T18:00:32+00:00,0.031298,0.051500,0.466667,0.00075219,8200000.000000,,6,5,3,14,crime:0.55; democracy_elections:0.35; government_leadership:0.10,score_v2,ok,full_text,open,369,page_fetch,programme average viewers x TV_SEGMENT_SHARE (US-only by construction); flat across the outlet's items (no per-item signal),"Straight news report citing court documents, FBI probable cause statement, and official quotes. No named opinion voice with special audience authority beyond standard news reporting. Facts presented without heavy emotional language, though the scandal itself is inherently dramatic."
25,27770e4dfeb2762a,Marketplace (APM),radio,en,Is there too much money in college sports?,https://www.marketplace.org/episode/2026/09/03/is-there-too-much-money-in-college-sports,2026-09-03T00:00:00+00:00,0.011298,0.174000,0.366667,0.00072079,2960000.000000,,5,4,2,11,economy:0.50; education:0.30; government_leadership:0.20,score_v2,secondary,full_text,open,460,homepage_fetch,weekly cume / RADIO_EPISODES_PER_WEEK (US-only by construction); cume overlap not modelled; flat across the outlet's items (no per-item signal),"Podcast discusses NIL rules, pay disparities, and pending legislation with some evidence (Washington Post investigation, specific figures) but relies mainly on hosts' commentary rather than rigorous argument. Hosts have niche sports-media authority, not broad institutional weight. Tone is conversational, low emotional intensity."
26,534d08507f0d9147,NPR News (Morning Edition / All Things Considered),radio,en,The NPR Politics Podcast,https://www.npr.org/podcasts/510310/npr-politics-podcast,2026-09-02T00:00:00+00:00,0.011221,0.153500,0.400000,0.00068899,2940000.000000,,4,6,2,12,democracy_elections:0.35; government_leadership:0.25; economy:0.20; foreign_policy_wars:0.20,score_v2,secondary,full_text,open,886,transcript_page,weekly cume / RADIO_EPISODES_PER_WEEK (US-only by construction); cume overlap not modelled; flat across the outlet's items (no per-item signal),"Aggregated podcast episode descriptions summarizing political news topics (elections, deficit, midterms, tariffs, foreign policy) with explanatory framing but little sustained argument. NPR's institutional brand lends moderate authority; tone is neutral, informational, low emotional intensity."
27,ab259fa949624ea5,Marketplace (APM),radio,en,What if the AI boom never turns a profit?,https://www.marketplace.org/episode/2026/09/03/what-if-the-ai-boom-never-turns-a-profit,2026-09-03T00:00:00+00:00,0.011298,0.111000,0.533333,0.00066882,2960000.000000,,7,6,3,16,ai_technology:0.55; economy:0.35; government_leadership:0.10,score_v2,secondary,full_text,open,776,homepage_fetch,weekly cume / RADIO_EPISODES_PER_WEEK (US-only by construction); cume overlap not modelled; flat across the outlet's items (no per-item signal),"Piece weaves historical case study (Akron tire industry) with multiple expert voices (economists, technologist, Nobel laureate) debating AI's tax/economic disruption, offering competing solutions. Ethos moderate via credentialed experts; pathos low, mostly analytical with some evocative historical framing rather than emotional appeal."
28,0d6c2b446161d9b0,Marketplace (APM),radio,en,"In Alaska, dipnetting for salmon is about more than what’s caught",https://www.marketplace.org/story/2026/09/02/for-alaskans-salmon-fishing-is-about-more-than-just-the-catch,2026-09-02T00:00:00+00:00,0.011298,0.158000,0.366667,0.00065451,2960000.000000,,3,3,5,11,economy:0.55; other:0.45,score_v2,secondary,full_text,open,686,homepage_fetch,weekly cume / RADIO_EPISODES_PER_WEEK (US-only by construction); cume overlap not modelled; flat across the outlet's items (no per-item signal),"Human-interest feature on Alaska dipnetting with light economic analysis from an economist; mostly anecdote and personal reflection, some data-adjacent reasoning about opportunity costs, warm emotional tone about family and place, no strong authoritative voice beyond a quoted academic."
29,fb644266612f8a3c,The Mark Levin Show,radio,en,"September 2nd, 2026",https://www.marklevinshow.com/2026/09/02/september-2nd-2026,2026-09-02T00:00:00+00:00,0.00916031,0.104500,0.633333,0.00060626,2400000.000000,,3,7,9,19,foreign_policy_wars:0.40; immigration:0.35; democracy_elections:0.10; ethics_morality:0.10; government_leadership:0.05,score_v2,secondary,full_text,open,4746,transcript_page,weekly cume / RADIO_EPISODES_PER_WEEK (US-only by construction); cume overlap not modelled; flat across the outlet's items (no per-item signal),"Levin cites reports (Real Clear Investigations, FEC filings) and Trump quotes but reasoning is thin, one-sided, heavy on assertion and conspiracy framing about Islamists and Iran. As a long-running, self-referential host with a loyal audience, his ethos is high. Language is highly charged—'slaughtered,' 'annihilate,' 'consume us'—driving strong emotional intensity throughout."
30,bd42370c6a631020,The Mark Levin Show,radio,en,"September 1st, 2026",https://www.marklevinshow.com/2026/09/01/september-1st-2026,2026-09-01T00:00:00+00:00,0.00916031,0.099000,0.666667,0.00060458,2400000.000000,,3,8,9,20,ai_technology:0.30; foreign_policy_wars:0.25; government_leadership:0.20; democracy_elections:0.15; other:0.10,score_v2,secondary,full_text,open,4802,transcript_page,weekly cume / RADIO_EPISODES_PER_WEEK (US-only by construction); cume overlap not modelled; flat across the outlet's items (no per-item signal),"Levin asserts claims with little evidence—montage clips used as proof of Islamist indoctrination, sweeping historical analogies (Reagan, Orwell, Huey Long) substitute for argument. As a long-running, highly recognized host with a loyal audience, his ethos is strong. Language is highly charged, mocking, and fear-driven throughout."
31,7002a1c0e8a38c4a,The Mark Levin Show,radio,en,09 / 01 / september-1st-2026,https://www.marklevinshow.com/2026/09/01/september-1st-2026/,2026-09-02T01:12:19+00:00,0.00916031,0.095000,0.666667,0.00058015,2400000.000000,,3,8,9,20,ai_technology:0.30; foreign_policy_wars:0.25; government_leadership:0.20; democracy_elections:0.15; ethics_morality:0.10,score_v2,secondary,full_text,open,4802,rss_fulltext,weekly cume / RADIO_EPISODES_PER_WEEK (US-only by construction); cume overlap not modelled; flat across the outlet's items (no per-item signal),"Levin uses anecdote, ridicule, and sweeping assertions (data centers, Islamists, Roberts, Iran) with little evidence or engagement with counterarguments beyond mockery. His long-standing personal authority with a loyal talk-radio audience is very high. Language is highly charged, contemptuous, and fear/anger-driven throughout, indicating strong pathos."
32,5b537ec572ed883b,The Clay Travis & Buck Sexton Show,radio,en,the-clay-travis-and-buck-sexton-show / hour-1-dont-underestimate-aoc,https://omny.fm/shows/the-clay-travis-and-buck-sexton-show/hour-1-dont-underestimate-aoc,2026-09-02T19:20:00+00:00,0.00744275,0.152500,0.500000,0.00056751,1950000.000000,,4,7,4,15,government_leadership:0.35; inflation_cost_of_living:0.25; crime:0.15; democracy_elections:0.15; other:0.10,score_v2,secondary,full_text,open,740,rss_fulltext,weekly cume / RADIO_EPISODES_PER_WEEK (US-only by construction); cume overlap not modelled; flat across the outlet's items (no per-item signal),"Talk-radio hosts offer commentary and polling anecdotes rather than rigorous evidence; some causal claims about economy/elections but thin analysis. Established syndicated hosts with loyal audience give solid ethos. Moderate emotional tone via political commentary, mockery, and speculation about AOC's authenticity and 2028 prospects."
33,57ef127599f21d73,Fox News Channel,cable,en,politics / gop-sen-thom-tillis-urges-trump-replace-pete-hegseth-blasts-pentagon-leadership,https://www.foxnews.com/politics/gop-sen-thom-tillis-urges-trump-replace-pete-hegseth-blasts-pentagon-leadership,2026-09-03T17:26:30+00:00,0.00568702,0.211000,0.466667,0.00055998,1490000.000000,,4,6,4,14,government_leadership:0.70; foreign_policy_wars:0.30,score_v2,ok,full_text,open,599,rss_fulltext,programme average viewers x TV_SEGMENT_SHARE (US-only by construction); flat across the outlet's items (no per-item signal),"Tillis, a sitting senator with Armed Services experience, makes pointed but largely assertive claims against Hegseth, citing his own committee tenure as authority. Some evidence (Driscoll's resignation, praise for George) but limited counter-engagement. White House rebuttal adds balance. Moderate emotional charge via 'fiery,' 'excoriated,' 'intimidated.'"
34,515e18196cfa38ef,Fox News Channel,cable,en,politics / lawmakers-press-dhs-letter-chinese-forced-labor-allegations-flag-popular-labubu-dolls,https://www.foxnews.com/politics/lawmakers-press-dhs-letter-chinese-forced-labor-allegations-flag-popular-labubu-dolls,2026-09-03T18:06:20+00:00,0.00568702,0.179000,0.533333,0.00054292,1490000.000000,,6,6,4,16,foreign_policy_wars:0.50; economy:0.30; government_leadership:0.20,score_v2,ok,full_text,open,898,rss_fulltext,programme average viewers x TV_SEGMENT_SHARE (US-only by construction); flat across the outlet's items (no per-item signal),"Article cites specific law, entity lists, trade impacts, and quotes Rep. Khanna's reasoning on human rights and economic harm. Khanna's committee position lends institutional authority. Moderate emotional appeal via 'slave labor' language, though largely factual/policy-focused."
35,c584128970212927,The Mark Levin Show,radio,en,09 / 02 / september-2nd-2026,https://www.marklevinshow.com/2026/09/02/september-2nd-2026/,2026-09-03T01:12:24+00:00,0.00916031,0.093500,0.633333,0.00054244,2400000.000000,,3,8,8,19,foreign_policy_wars:0.40; immigration:0.35; ethics_morality:0.15; democracy_elections:0.10,score_v2,secondary,full_text,open,4746,rss_fulltext,weekly cume / RADIO_EPISODES_PER_WEEK (US-only by construction); cume overlap not modelled; flat across the outlet's items (no per-item signal),"Levin asserts sweeping claims (arm Iranians, Islamist takeover) with selective sourcing (Sperry piece, Breitbart) but little counter-engagement. His decades-long syndicated show and personal brand give him strong ethos with his audience. Heavy use of fear, moral alarm, and vivid rhetoric ('kill Jews', 'no-go zones') drives high emotional intensity."
36,512c7cb45268cb04,NPR News (Morning Edition / All Things Considered),radio,en,"Kissing apes, anti-splash urinals: This year's Ig Nobels showcase surprising science",https://www.npr.org/2026/09/03/nx-s1-5950370/ig-nobel-awards-kissing-urinals-move-switzerland,2026-09-03T17:00:00+00:00,0.011221,0.103000,0.466667,0.00053937,2940000.000000,,5,6,3,14,ai_technology:0.30; government_leadership:0.25; other:0.25; immigration:0.20,score_v2,secondary,full_text,open,948,page_fetch,weekly cume / RADIO_EPISODES_PER_WEEK (US-only by construction); cume overlap not modelled; flat across the outlet's items (no per-item signal),"Article reports on Ig Nobel science awards with quotes from researchers and officials, touching on immigration-driven relocation of the ceremony. Light evidence via quotes, moderate credibility from named experts/editors, low emotional intensity aside from mild humor and light political commentary."
37,34c6ef420e86c7a3,Marketplace (APM),radio,en,Fewer employers are covering GLP-1 drugs for weight loss. Should they?,https://www.marketplace.org/story/2026/08/24/should-employers-cover-glp1s-for-weight-loss,2026-08-24T00:00:00+00:00,0.011298,0.078000,0.600000,0.00052873,2960000.000000,,7,6,5,18,healthcare:0.75; economy:0.20; poverty_homelessness:0.05,score_v2,secondary,full_text,open,1259,homepage_fetch,weekly cume / RADIO_EPISODES_PER_WEEK (US-only by construction); cume overlap not modelled; flat across the outlet's items (no per-item signal),"Article presents data from surveys, economists, and a personal case study, weighing employer cost-benefit tradeoffs. Multiple expert voices (economists, bioethicist, benefits researcher) lend institutional credibility. Turner's personal weight-loss story and inequity framing add moderate emotional resonance without dominating the reporting."
38,ea91656abe3af8de,Fox News Channel,cable,en,Wounded Marines relive the harrowing Kabul airport attack in explosive new Fox Nation documentary,https://www.foxnews.com/media/wounded-marines-relive-harrowing-kabul-airport-attack-explosive-fox-nation-documentary,2026-08-26T00:00:00+00:00,0.00568702,0.152500,0.600000,0.00052036,1490000.000000,,3,6,9,18,foreign_policy_wars:0.75; government_leadership:0.25,score_v2,ok,full_text,open,572,transcript_page,programme average viewers x TV_SEGMENT_SHARE (US-only by construction); flat across the outlet's items (no per-item signal),"Promotional article for a documentary, relying on graphic firsthand testimony from wounded Marines and political criticism of Biden's withdrawal, with little analysis or counter-evidence—heavy emotional weight, moderate authority from veterans and a congressman, minimal argumentation."
